name,home,away,statisticsType,valueType,homeValue,awayValue,key,Categoría,homeTotal,awayTotal,event_id
Posesión,66%,34%,positive,event,66.0,34.0,ballPossession,General,,,11972388
Goles esperados,1.94,0.72,positive,event,1.94,0.72,expectedGoals,General,,,11972388
Remates totales,10,10,positive,event,10.0,10.0,totalShotsOnGoal,General,,,11972388
Atajadas,4,1,positive,event,4.0,1.0,goalkeeperSaves,General,,,11972388
Córners,1,2,positive,event,1.0,2.0,cornerKicks,General,,,11972388
Faltas,7,14,negative,event,7.0,14.0,fouls,General,,,11972388
Pases,484,210,positive,event,484.0,210.0,passes,General,,,11972388
Entradas,5,5,positive,event,5.0,5.0,totalTackle,General,,,11972388
Tiros libre,4,4,positive,event,4.0,4.0,freeKicks,General,,,11972388
Tarjetas amarillas,2,3,negative,event,2.0,3.0,yellowCards,General,,,11972388
Tarjetas rojas,0,0,negative,event,0.0,0.0,redCards,General,,,11972388
Remates totales,10,10,positive,event,10.0,10.0,totalShotsOnGoal,Remates,,,11972388
Remates al arco,2,4,positive,event,2.0,4.0,shotsOnGoal,Remates,,,11972388
Palo,1,0,negative,event,1.0,0.0,hitWoodwork,Remates,,,11972388
Remates fuera,5,4,negative,event,5.0,4.0,shotsOffGoal,Remates,,,11972388
Remates bloqueados,2,2,negative,event,2.0,2.0,blockedScoringAttempt,Remates,,,11972388
Remates dentro del área,9,1,positive,event,9.0,1.0,totalShotsInsideBox,Remates,,,11972388
Remates fuera del área,1,9,positive,event,1.0,9.0,totalShotsOutsideBox,Remates,,,11972388
Pases en profundidad,5,1,positive,event,5.0,1.0,accurateThroughBall,Ataques,,,11972388
Fuera de juego,1,4,negative,event,1.0,4.0,offsides,Ataques,,,11972388
Pases precisos,381,133,positive,event,381.0,133.0,accuratePasses,Pases,,,11972388
Laterales,33,21,positive,event,33.0,21.0,throwIns,Pases,,,11972388
Pases largos,32/64 (50%),26/52 (50%),positive,team,32.0,26.0,accurateLongBalls,Pases,64.0,52.0,11972388
Centros,8/36 (22%),1/7 (14%),positive,team,8.0,1.0,accurateCross,Pases,36.0,7.0,11972388
Duelos,42%,35%,positive,event,42.0,35.0,duelWonPercent,Duelos,,,11972388
Pérdidas de posesión,128,117,negative,event,128.0,117.0,dispossessed,Duelos,,,11972388
Duelos en el suelo,47/120 (39%),41/120 (34%),positive,team,47.0,41.0,groundDuelsPercentage,Duelos,120.0,120.0,11972388
Duelos aéreos,16/29 (55%),12/29 (41%),positive,team,16.0,12.0,aerialDuelsPercentage,Duelos,29.0,29.0,11972388
Regates,13/18 (72%),14/19 (74%),positive,team,13.0,14.0,dribblesPercentage,Duelos,18.0,19.0,11972388
Entradas totales,5,5,positive,event,5.0,5.0,totalTackle,Defensa,,,11972388
Intercepciones,24,55,positive,event,24.0,55.0,interceptionWon,Defensa,,,11972388
Despejes,11,36,positive,event,11.0,36.0,totalClearance,Defensa,,,11972388
Salvadas totales,4,1,positive,event,4.0,1.0,goalkeeperSaves,Arquero,,,11972388
Saques de arco,9,15,positive,event,9.0,15.0,goalKicks,Arquero,,,11972388
Posesión,47%,53%,positive,event,47.0,53.0,ballPossession,General,,,11972394
Goles esperados,0.63,0.23,positive,event,0.63,0.23,expectedGoals,General,,,11972394
Remates totales,11,3,positive,event,11.0,3.0,totalShotsOnGoal,General,,,11972394
Atajadas,1,2,positive,event,1.0,2.0,goalkeeperSaves,General,,,11972394
Córners,8,4,positive,event,8.0,4.0,cornerKicks,General,,,11972394
Faltas,14,12,negative,event,14.0,12.0,fouls,General,,,11972394
Pases,271,293,positive,event,271.0,293.0,passes,General,,,11972394
Entradas,5,3,positive,event,5.0,3.0,totalTackle,General,,,11972394
Tiros libre,3,3,positive,event,3.0,3.0,freeKicks,General,,,11972394
Tarjetas amarillas,1,4,negative,event,1.0,4.0,yellowCards,General,,,11972394
Tarjetas rojas,0,1,negative,event,0.0,1.0,redCards,General,,,11972394
Remates totales,11,3,positive,event,11.0,3.0,totalShotsOnGoal,Remates,,,11972394
Remates al arco,3,1,positive,event,3.0,1.0,shotsOnGoal,Remates,,,11972394
Palo,1,0,negative,event,1.0,0.0,hitWoodwork,Remates,,,11972394
Remates fuera,7,1,negative,event,7.0,1.0,shotsOffGoal,Remates,,,11972394
Remates bloqueados,0,1,negative,event,0.0,1.0,blockedScoringAttempt,Remates,,,11972394
Remates dentro del área,5,2,positive,event,5.0,2.0,totalShotsInsideBox,Remates,,,11972394
Remates fuera del área,6,1,positive,event,6.0,1.0,totalShotsOutsideBox,Remates,,,11972394
Pases en profundidad,0,0,positive,event,0.0,0.0,accurateThroughBall,Ataques,,,11972394
Fuera de juego,0,3,negative,event,0.0,3.0,offsides,Ataques,,,11972394
Pases precisos,179,219,positive,event,179.0,219.0,accuratePasses,Pases,,,11972394
Laterales,36,23,positive,event,36.0,23.0,throwIns,Pases,,,11972394
Pases largos,39/65 (60%),26/55 (47%),positive,team,39.0,26.0,accurateLongBalls,Pases,65.0,55.0,11972394
Centros,4/16 (25%),3/10 (30%),positive,team,4.0,3.0,accurateCross,Pases,16.0,10.0,11972394
Duelos,38%,35%,positive,event,38.0,35.0,duelWonPercent,Duelos,,,11972394
Pérdidas de posesión,120,120,negative,event,120.0,120.0,dispossessed,Duelos,,,11972394
Duelos en el suelo,80/213 (38%),69/213 (32%),positive,team,80.0,69.0,groundDuelsPercentage,Duelos,213.0,213.0,11972394
Duelos aéreos,19/44 (43%),23/44 (52%),positive,team,19.0,23.0,aerialDuelsPercentage,Duelos,44.0,44.0,11972394
Regates,21/37 (57%),17/28 (61%),positive,team,21.0,17.0,dribblesPercentage,Duelos,37.0,28.0,11972394
Entradas totales,5,3,positive,event,5.0,3.0,totalTackle,Defensa,,,11972394
Intercepciones,33,42,positive,event,33.0,42.0,interceptionWon,Defensa,,,11972394
Despejes,8,29,positive,event,8.0,29.0,totalClearance,Defensa,,,11972394
Salvadas totales,1,2,positive,event,1.0,2.0,goalkeeperSaves,Arquero,,,11972394
Saques de arco,4,8,positive,event,4.0,8.0,goalKicks,Arquero,,,11972394
Posesión,35%,65%,positive,event,35.0,65.0,ballPossession,General,,,11972389
Goles esperados,0.66,1.58,positive,event,0.66,1.58,expectedGoals,General,,,11972389
Remates totales,8,10,positive,event,8.0,10.0,totalShotsOnGoal,General,,,11972389
Atajadas,5,3,positive,event,5.0,3.0,goalkeeperSaves,General,,,11972389
Córners,7,5,positive,event,7.0,5.0,cornerKicks,General,,,11972389
Faltas,12,9,negative,event,12.0,9.0,fouls,General,,,11972389
