event_id,round_number,home_id,home_shortName,home_score,away_id,away_shortName,away_score
11972388,0,265787,Agropecuario,1.0,43741,Patronato,0.0
11972394,0,255425,Mitre,1.0,213361,San Telmo,0.0
11972389,0,36834,All Boys,1.0,93513,Tristán Suárez,0.0
11972383,0,3214,Chacarita Jrs.,2.0,213042,Deportivo Maipú,0.0
11972390,0,93109,Dep. Morón,3.0,107201,Brown de Adrogué,0.0
11972382,0,93107,Estudiantes B.A.,1.0,36841,Ferro Carril Oeste,0.0
11972381,0,201162,Talleres R.E.,0.0,264945,San Miguel,0.0
11972399,0,4936,Quilmes,2.0,112499,Temperley,0.0
11972391,0,3200,Nueva Chicago,1.0,4938,Almagro,0.0
11972395,0,36836,Aldosivi,0.0,34976,Atlético Rafaela,1.0
11972384,0,23950,SM Tucumán,1.0,5292,Gimnasia J.,0.0
11972397,0,3207,Colón,2.0,93515,Def. Unidos,1.0
11972398,0,43740,Almirante Brown,0.0,53799,Atlanta,1.0
11972385,0,3221,Arsenal,1.0,224646,Güemes,1.0
11972393,0,222126,Gimnasia y Tiro,2.0,252726,Chaco For Ever,0.0
11972387,0,53801,Guillermo Brown,1.0,273657,Racing de Córdoba,1.0
11972386,0,7772,San Martín,1.0,273715,Alvarado,0.0
11972392,0,188441,Gimnasia Mendoza,0.0,52215,Defensores,1.0
11972396,0,266694,Estudiantes R.C.,1.0,222120,Deportivo Madryn,0.0
11972406,1,36841,Ferro Carril Oeste,0.0,3214,Chacarita Jrs.,2.0
11972416,1,4938,Almagro,2.0,93109,Dep. Morón,1.0
11972412,1,34976,Atlético Rafaela,,255425,Mitre,
11972411,1,222120,Deportivo Madryn,0.0,36836,Aldosivi,2.0
11972408,1,4936,Quilmes,0.0,201162,Talleres R.E.,0.0
11972407,1,264945,San Miguel,0.0,93107,Estudiantes B.A.,0.0
11972413,1,213361,San Telmo,1.0,222126,Gimnasia y Tiro,1.0
11972418,1,43740,Almirante Brown,1.0,93513,Tristán Suárez,2.0
11972417,1,107201,Brown de Adrogué,2.0,112499,Temperley,2.0
