Equipo,Pos,PJ,PG,GA,GC,PP,PE,Pts,Dif,team_id,Escudo
San Martín de Tucumán,1,38,24,43,18,5,9,81,+25,23950,https://api.sofascore.app/api/v1/team/23950/image
San Martín de San Juan,2,38,19,40,21,6,13,70,+19,7772,https://api.sofascore.app/api/v1/team/7772/image
Quilmes Atlético Club,3,38,17,41,24,9,12,60,+17,4936,https://api.sofascore.app/api/v1/team/4936/image
All Boys,4,38,15,34,24,10,13,58,+10,36834,https://api.sofascore.app/api/v1/team/36834/image
Gimnasia Jujuy,5,38,17,32,27,14,7,58,+5,5292,https://api.sofascore.app/api/v1/team/5292/image
Estudiantes de Buenos Aires,6,38,14,34,32,10,14,56,+2,93107,https://api.sofascore.app/api/v1/team/93107/image
Racing de Córdoba,7,38,14,37,36,13,11,53,+1,273657,https://api.sofascore.app/api/v1/team/273657/image
San Miguel,8,38,13,34,33,11,14,53,+1,264945,https://api.sofascore.app/api/v1/team/264945/image
Club Ferro Carril Oeste,9,38,12,51,45,12,14,50,+6,36841,https://api.sofascore.app/api/v1/team/36841/image
Agropecuario Argentino,10,38,13,44,45,15,10,49,-1,265787,https://api.sofascore.app/api/v1/team/265787/image
Tristán Suárez,11,38,12,45,47,14,12,48,-2,93513,https://api.sofascore.app/api/v1/team/93513/image
Deportivo Maipú,12,38,13,37,49,16,9,48,-12,213042,https://api.sofascore.app/api/v1/team/213042/image
Güemes,13,38,10,32,37,13,15,45,-5,224646,https://api.sofascore.app/api/v1/team/224646/image
Club Atlético Chacarita Juniors,14,38,11,35,44,15,12,45,-9,3214,https://api.sofascore.app/api/v1/team/3214/image
Alvarado,15,38,12,30,40,17,9,45,-10,273715,https://api.sofascore.app/api/v1/team/273715/image
Patronato,16,38,10,36,44,18,10,40,-8,43741,https://api.sofascore.app/api/v1/team/43741/image
Arsenal de Sarandí,17,38,9,21,36,16,13,40,-15,3221,https://api.sofascore.app/api/v1/team/3221/image
Talleres Remedios de Escalada,18,38,7,26,41,15,16,37,-15,201162,https://api.sofascore.app/api/v1/team/201162/image
Guillermo Brown,19,38,7,29,44,19,12,33,-15,53801,https://api.sofascore.app/api/v1/team/53801/image
