time,incidentType,incidentClass,isHome,player_id,player_shortName,player_jerseyNumber,playerIn_id,playerIn_shortName,playerIn_jerseyNumber,playerOut_id,playerOut_shortName,playerOut_jerseyNumber
90,card,yellow,home,941083.0,J. Marcioni,11,,,,,,
90,goal,regular,home,941083.0,J. Marcioni,11,,,,,,
90,injuryTime,,home,,,,,,,,,
86,card,yellow,away,1116307.0,P. Hofstetter,14,,,,,,
84,substitution,regular,away,,,,1097721.0,E. Gonzalez,17,340957.0,A. Gonzalez,19
81,substitution,regular,home,,,,584038.0,R. Barrios,13,922442.0,A. Montero,8
75,substitution,regular,home,,,,898764.0,P. Cucchi,11,1109105.0,E. Silcan,3
72,substitution,regular,away,,,,896747.0,B. Sosa,14,1214766.0,J. P. Barinaga,17
57,substitution,regular,home,,,,795362.0,A. Melo,10,990046.0,A. Schönfeld,15
57,substitution,regular,home,,,,928937.0,E. Martinez,16,249309.0,E. Moreno,11
45,period,,home,,,,,,,,,
45,substitution,regular,away,,,,1653821.0,F. D. S. Fernández,19,878716.0,J. Perotti,10
45,substitution,regular,away,,,,1116307.0,P. Hofstetter,14,1597483.0,A. R. Picco,14
45,injuryTime,,home,,,,,,,,,
40,card,yellow,away,974679.0,F. Coronel,7,,,,,,
27,card,yellow,away,1653822.0,M. R. Burdisso,,,,,,,
16,card,yellow,home,1109105.0,E. Silcan,3,,,,,,
90,period,,home,,,,,,,,,
90,card,yellow,away,1018405.0,F. Ayunta,9,,,,,,
90,injuryTime,,home,,,,,,,,,
86,substitution,regular,home,,,,1653851.0,T. M. Ferreyra,3,980541.0,K. Isa,7
83,substitution,regular,away,,,,1653787.0,G. Lillo,4,1121463.0,A. Fernandez,24
83,substitution,regular,away,,,,1182417.0,F. Tisera,7,849139.0,G. Ramirez,5
80,substitution,regular,home,,,,989211.0,T. Coppo,,1605141.0,M. F. Ferrari,14
80,substitution,regular,home,,,,1650446.0,F. Posse,9,933179.0,N. Romero,20
80,substitution,regular,home,,,,1653852.0,T. A. Castro,7,1094083.0,J. P. Gobetto,15
70,goal,regular,home,1094083.0,J. P. Gobetto,15,,,,,,
66,substitution,regular,away,,,,971191.0,A. Cossi,11,1605143.0,N. J. Heiz,19
66,substitution,regular,away,,,,1109292.0,R. González,10,927422.0,G. Mayenfisch,18
66,substitution,regular,away,,,,1018405.0,F. Ayunta,9,1133394.0,I. Lartirigoyen,20
65,substitution,regular,home,,,,924224.0,J. Bayk,20,980926.0,A. Ramírez,42
61,card,yellowRed,away,830888.0,E. Franco,17,,,,,,
45,period,,home,,,,,,,,,
45,injuryTime,,home,,,,,,,,,
40,card,yellow,away,830888.0,E. Franco,17,,,,,,
33,card,yellow,away,1121463.0,A. Fernandez,24,,,,,,
16,card,yellow,home,1214049.0,N. Agorreca,14,,,,,,
90,period,,home,,,,,,,,,
90,card,yellow,home,1130221.0,A. Gallo,9,,,,,,
