player,id,jersey,position,substitute,minutes,order,line,lat,pos,local,team,formation,defense,midfield,attack,averageX,averageY,pointsCount,event_id
Luciano Jachfe,1020522,1,G,False,90,1,por,1/1,POR,Home,Mitre,4-3-3,4,3,3,14.85,52.175,40.0,11972394
Brian Mieres,830656,4,D,False,90,2,def,1/4,DEF,Home,Mitre,4-3-3,4,3,3,53.151898734177,16.379746835443,79.0,11972394
Brian Mieres,830656,4,D,False,90,2,def,1/4,DEF,Home,Mitre,4-3-3,4,3,3,53.151898734177,16.379746835443,79.0,11972394
Brian Mieres,830656,4,D,False,90,2,def,1/4,DEF,Home,Mitre,4-3-3,4,3,3,53.151898734177,16.379746835443,79.0,11972394
Brian Mieres,830656,4,D,False,90,2,def,1/4,DEF,Home,Mitre,4-3-3,4,3,3,53.151898734177,16.379746835443,79.0,11972394
Brian Mieres,830656,4,D,False,90,2,def,1/4,DEF,Home,Mitre,4-3-3,4,3,3,53.151898734177,16.379746835443,79.0,11972394
Nicolás Agorreca,1214049,2,D,False,90,3,def,2/4,DEF,Home,Mitre,4-3-3,4,3,3,33.708333333333,25.895833333333,48.0,11972394
Oscar Piris,933167,6,D,False,90,4,def,3/4,DEF,Home,Mitre,4-3-3,4,3,3,34.084745762712,62.152542372881,59.0,11972394
Marcos Sánchez,941428,3,D,False,90,5,def,4/4,DEF,Home,Mitre,4-3-3,4,3,3,51.935483870968,82.661290322581,62.0,11972394
Matías Fabio Ferrari,1605141,8,M,False,80,6,mid_1,1/3,MED,Home,Mitre,4-3-3,4,3,3,61.241935483871,27.193548387097,62.0,11972394
Juan Alessandroni,933174,5,M,False,90,7,mid_1,2/3,MED,Home,Mitre,4-3-3,4,3,3,45.903225806452,59.225806451613,62.0,11972394
Juan Pablo Gobetto,1094083,10,M,False,80,8,mid_1,3/3,MED,Home,Mitre,4-3-3,4,3,3,62.586956521739,66.913043478261,46.0,11972394
Agustín Ramírez,980926,7,F,False,65,9,ata,1/3,ATA,Home,Mitre,4-3-3,4,3,3,71.4,18.3,40.0,11972394
Nelson Romero,933179,9,F,False,80,10,ata,2/3,ATA,Home,Mitre,4-3-3,4,3,3,65.74358974359,46.25641025641,39.0,11972394
Kevin Isa,980541,11,F,False,86,11,ata,3/3,ATA,Home,Mitre,4-3-3,4,3,3,61.4,63.85,40.0,11972394
Javier Bayk,924224,18,F,True,25,12,,,SUS,Home,Mitre,4-3-3,4,3,3,82.363636363636,86.818181818182,22.0,11972394
Tobías Coppo,989211,15,M,True,10,13,,,SUS,Home,Mitre,4-3-3,4,3,3,63.923076923077,64.846153846154,13.0,11972394
Tomás Alejandro Castro,1653852,16,M,True,10,14,,,SUS,Home,Mitre,4-3-3,4,3,3,54.888888888889,23.333333333333,9.0,11972394
Franco Posse,1650446,19,F,True,10,15,,,SUS,Home,Mitre,4-3-3,4,3,3,67.263157894737,71.0,19.0,11972394
Tiago Martín Ferreyra,1653851,13,D,True,4,16,,,SUS,Home,Mitre,4-3-3,4,3,3,30.5,66.833333333333,6.0,11972394
Joaquín Ledesma,1112851,12,G,True,0,17,,,SUS,Home,Mitre,4-3-3,4,3,3,,,,11972394
Cristian Díaz,249979,14,D,True,0,18,,,SUS,Home,Mitre,4-3-3,4,3,3,,,,11972394
José Torres,951056,17,M,True,0,19,,,SUS,Home,Mitre,4-3-3,4,3,3,,,,11972394
Joan Juncos,789419,20,F,True,0,20,,,SUS,Home,Mitre,4-3-3,4,3,3,,,,11972394
Brian Bustos,885513,1,G,False,90,1,por,1/1,POR,Away,San Telmo,4-3-3,4,3,3,10.464285714286,51.928571428571,56.0,11972394
Martin Vallejos,1514482,4,D,False,90,2,def,1/4,DEF,Away,San Telmo,4-3-3,4,3,3,34.661764705882,10.323529411765,68.0,11972394
Hector González,991108,2,D,False,90,3,def,2/4,DEF,Away,San Telmo,4-3-3,4,3,3,26.6125,30.525,80.0,11972394
Agustín Francisco Lamosa,1605142,6,D,False,90,4,def,3/4,DEF,Away,San Telmo,4-3-3,4,3,3,30.11320754717,67.207547169811,53.0,11972394
Rodrigo Ayala,790190,3,D,False,90,5,def,4/4,DEF,Away,San Telmo,4-3-3,4,3,3,41.306666666667,86.08,75.0,11972394
Emiliano Franco,830888,8,M,False,61,6,mid_1,1/3,MED,Away,San Telmo,4-3-3,4,3,3,48.918918918919,34.621621621622,37.0,11972394
Gabriel Ramirez,849139,5,M,False,83,7,mid_1,2/3,MED,Away,San Telmo,4-3-3,4,3,3,36.324324324324,53.0,74.0,11972394
Adrian Fernandez,1121463,10,M,False,83,8,mid_1,3/3,MED,Away,San Telmo,4-3-3,4,3,3,47.694915254237,51.067796610169,59.0,11972394
Iñaki Lartirigoyen,1133394,7,F,False,66,9,ata,1/3,ATA,Away,San Telmo,4-3-3,4,3,3,53.66,22.22,50.0,11972394
Iñaki Lartirigoyen,1133394,7,F,False,66,9,ata,1/3,ATA,Away,San Telmo,4-3-3,4,3,3,53.66,22.22,50.0,11972394
Iñaki Lartirigoyen,1133394,7,F,False,66,9,ata,1/3,ATA,Away,San Telmo,4-3-3,4,3,3,53.66,22.22,50.0,11972394
Iñaki Lartirigoyen,1133394,7,F,False,66,9,ata,1/3,ATA,Away,San Telmo,4-3-3,4,3,3,53.66,22.22,50.0,11972394
Iñaki Lartirigoyen,1133394,7,F,False,66,9,ata,1/3,ATA,Away,San Telmo,4-3-3,4,3,3,53.66,22.22,50.0,11972394
Nicolás Javier Heiz,1605143,9,F,False,66,10,ata,2/3,ATA,Away,San Telmo,4-3-3,4,3,3,49.16,51.72,25.0,11972394
German Mayenfisch,927422,11,F,False,66,11,ata,3/3,ATA,Away,San Telmo,4-3-3,4,3,3,59.571428571429,76.964285714286,28.0,11972394
Rodrigo González,1109292,18,M,True,24,12,,,SUS,Away,San Telmo,4-3-3,4,3,3,53.421052631579,70.578947368421,19.0,11972394
Alexis Cossi,971191,14,M,True,24,13,,,SUS,Away,San Telmo,4-3-3,4,3,3,53.363636363636,22.272727272727,22.0,11972394
Franco Ayunta,1018405,20,F,True,24,14,,,SUS,Away,San Telmo,4-3-3,4,3,3,54.964285714286,45.714285714286,28.0,11972394
Gianfranco Lillo,1653787,13,D,True,7,15,,,SUS,Away,San Telmo,4-3-3,4,3,3,28.571428571429,55.714285714286,7.0,11972394
