minute,value,event_id
1.0,-12,11972389
2.0,-14,11972389
3.0,-6,11972389
4.0,-1,11972389
5.0,4,11972389
6.0,8,11972389
7.0,-7,11972389
8.0,-14,11972389
9.0,-67,11972389
10.0,-38,11972389
11.0,-30,11972389
12.0,-45,11972389
13.0,-34,11972389
14.0,-24,11972389
15.0,-23,11972389
16.0,-16,11972389
17.0,-5,11972389
18.0,-6,11972389
19.0,-6,11972389
20.0,-6,11972389
21.0,-6,11972389
22.0,7,11972389
23.0,74,11972389
24.0,41,11972389
25.0,11,11972389
26.0,2,11972389
27.0,-15,11972389
28.0,-78,11972389
29.0,-55,11972389
30.0,-37,11972389
31.0,-26,11972389
32.0,-19,11972389
33.0,-16,11972389
34.0,-14,11972389
35.0,-12,11972389
36.0,-2,11972389
37.0,36,11972389
38.0,93,11972389
39.0,56,11972389
40.0,29,11972389
41.0,8,11972389
42.0,-5,11972389
43.0,-12,11972389
44.0,-17,11972389
45.0,-19,11972389
45.5,-25,11972389
46.0,26,11972389
47.0,62,11972389
48.0,33,11972389
49.0,11,11972389
50.0,7,11972389
51.0,24,11972389
52.0,2,11972389
53.0,-4,11972389
54.0,-1,11972389
55.0,41,11972389
56.0,19,11972389
57.0,-89,11972389
58.0,-50,11972389
59.0,-39,11972389
60.0,-25,11972389
61.0,-14,11972389
62.0,2,11972389
63.0,-4,11972389
64.0,-1,11972389
65.0,-5,11972389
66.0,17,11972389
67.0,5,11972389
68.0,-4,11972389
69.0,-5,11972389
70.0,-6,11972389
71.0,-9,11972389
72.0,-9,11972389
73.0,-59,11972389
74.0,-29,11972389
75.0,-16,11972389
76.0,37,11972389
77.0,39,11972389
78.0,49,11972389
79.0,26,11972389
80.0,-59,11972389
81.0,-37,11972389
82.0,-27,11972389
83.0,-61,11972389
84.0,-40,11972389
85.0,-23,11972389
86.0,-11,11972389
87.0,-35,11972389
88.0,-16,11972389
89.0,-12,11972389
90.0,-20,11972389
90.5,-50,11972389
1.0,1,11972383
2.0,-3,11972383
3.0,-5,11972383
4.0,-5,11972383
5.0,-7,11972383
6.0,-9,11972383
7.0,-59,11972383
8.0,-14,11972383
9.0,-17,11972383
10.0,-10,11972383
11.0,-11,11972383
12.0,-2,11972383
13.0,-6,11972383
14.0,-1,11972383
15.0,3,11972383
16.0,9,11972383
17.0,1,11972383
18.0,19,11972383
