player_id,team,nationality,birth_date,age,height,preferred_foot,position,shirt_number,market_value,pos,positions
1093119,Aldosivi,ARG,15 nov 2000,24 años,186 cm,Derecho,F,9,415K €,[],[]
1213809,Aldosivi,ARG,27 mar 2001,23 años,184 cm,Derecho,F,7,230K €,[],[]
1182395,Aldosivi,ARG,24 ene 2001,23 años,171 cm,Ambos,F,21,93K €,[],[]
1184852,Aldosivi,ARG,2 jun 2003,21 años,164 cm,F,17,ARG,69K €,[],[]
941078,Aldosivi,ARG,27 jul 1997,27 años,185 cm,Derecho,F,22,325K €,[],[]
939935,Aldosivi,ARG,12 dic 1998,25 años,178 cm,Derecho,M,11,360K €,[],[]
1467315,Aldosivi,ARG,5 may 2003,21 años,184 cm,Izquierdo,M,7,340K €,[],[]
1086999,Aldosivi,ARG,3 oct 2000,24 años,176 cm,Derecho,M,8,145K €,[],[]
1065614,Aldosivi,ARG,15 nov 2000,24 años,170 cm,Derecho,M,ARG,465K €,[],[]
1048283,Aldosivi,ARG,11 ago 1999,25 años,172 cm,Derecho,M,10,195K €,[],[]
1087031,Aldosivi,ARG,12 feb 2001,23 años,185 cm,Derecho,M,19,145K €,[],[]
1087512,Aldosivi,ARG,23 ene 2002,22 años,173 cm,Derecho,M,18,145K €,[],[]
1117077,Aldosivi,ARG,14 ene 2003,21 años,176 cm,Derecho,M,5,180K €,[],[]
989861,Aldosivi,ARG,8 sept 2000,24 años,172 cm,Derecho,M,36,130K €,[],[]
1086331,Aldosivi,ARG,11 mar 2001,23 años,175 cm,Derecho,M,20,46K €,[],[]
1100246,Aldosivi,ARG,9 jul 1998,26 años,175 cm,Izquierdo,D,3,220K €,[],[]
900191,Aldosivi,ARG,16 sept 1996,28 años,177 cm,Derecho,D,13,185K €,[],[]
978882,Aldosivi,ARG,14 abr 2000,24 años,175 cm,Derecho,D,4,245K €,[],[]
1018416,Aldosivi,ARG,7 ene 1998,26 años,192 cm,Izquierdo,D,15,265K €,[],[]
1425093,Aldosivi,ARG,16 ago 2005,19 años,176 cm,Derecho,D,16,24K €,[],[]
175089,Aldosivi,ARG,4 may 1987,37 años,180 cm,Derecho,D,6,80K €,[],[]
885186,Aldosivi,ARG,28 jun 2000,24 años,185 cm,Derecho,D,3,145K €,[],[]
385424,Aldosivi,ARG,3 abr 1990,34 años,190 cm,Ambos,D,2,45K €,[],[]
1535522,Aldosivi,ARG,12 dic 2003,20 años,D,14,ARG,20 años,,[],[]
340431,Aldosivi,ARG,7 may 1981,43 años,187 cm,Derecho,G,1,26K €,[],[]
1182407,Aldosivi,ARG,9 abr 1996,28 años,192 cm,Derecho,G,12,46K €,[],[]
1894118,Aldosivi,,,,,,,,,[],[]
1894119,Aldosivi,,Número de Camiseta,12,,,,,,[],[]
1897455,Aldosivi,,,,,,,,,[],[]
1936646,Aldosivi,,Número de Camiseta,33,,,,,,[],[]
1117060,Deportivo Madryn,ARG,15 ene 2002,22 años,180 cm,F,9,ARG,69K €,[],[]
1113237,Deportivo Madryn,ARG,16 feb 2002,22 años,188 cm,Izquierdo,F,19,105K €,[],[]
1092312,Deportivo Madryn,ARG,11 nov 1996,28 años,189 cm,Derecho,F,11,215K €,[],[]
1106576,Deportivo Madryn,,Posición,F,18,23 años,F,18,,[],[]
1393676,Deportivo Madryn,ARG,24 feb 2001,23 años,190 cm,Derecho,F,20,130K €,[],[]
1114260,Deportivo Madryn,ARG,26 ago 1999,25 años,177 cm,Derecho,M,17,77K €,[],[]
789298,Deportivo Madryn,ARG,21 feb 1992,32 años,180 cm,Ambos,M,10,155K €,[],[]
1157397,Deportivo Madryn,ARG,18 mar 2002,22 años,170 cm,Derecho,M,8,73K €,[],[]
896871,Deportivo Madryn,ARG,11 ago 1996,28 años,168 cm,Derecho,M,5,230K €,[],[]
990053,Deportivo Madryn,ARG,19 jun 1997,27 años,M,7,ARG,27 años,,[],[]
340843,Deportivo Madryn,ARG,9 oct 1992,32 años,177 cm,Derecho,M,16,72K €,[],[]
1111937,Deportivo Madryn,ARG,29 jun 1999,25 años,190 cm,Derecho,M,20,155K €,[],[]
1597527,Deportivo Madryn,ARG,19 ene 1997,27 años,173 cm,Izquierdo,M,7,155K €,[],[]
174855,Deportivo Madryn,ARG,23 feb 1987,37 años,186 cm,Izquierdo,D,6,54K €,[],[]
1016645,Deportivo Madryn,ARG,26 abr 2001,23 años,177 cm,Derecho,D,13,97K €,[],[]
1118570,Deportivo Madryn,ARG,3 abr 1999,25 años,179 cm,Derecho,D,4,320K €,[],[]
1179170,Deportivo Madryn,ARG,1 dic 2003,20 años,180 cm,Izquierdo,D,16,71K €,[],[]
1175211,Deportivo Madryn,ARG,27 abr 1998,26 años,181 cm,Derecho,D,15,23K €,[],[]
