Puntaje,Goles,Asistencias,Goles + Asistencias,Pases precisos,Pases fallados,Pases totales,Precisión de pase %,Pases precisos en tercio final,Pases clave,Regates completados,Efectividad en regates %,Intercepciones,Tarjetas amarillas,Rojas directas,Tarjetas rojas,Centros precisos,Precisión de centros %,Remates,Remates al arco,Remates fuera,Duelos aéreos ganados,Efectividad en duelos aéreos %,Duelos ganados,Efectividad en duelos %,Minutos jugados,Goles convertidos %,Penales ejecutados,Penales convertidos,Remates de pelota parada,Pases largos precisos,Precisión de pase largo %,Despejes,Errores seguidos por remate,Faltas recibidas,Faltas cometidas,Autogoles,Regateado,Fueras de juego,Remates bloqueados,Pases al asistidor,Atajadas,Centros perdidos,Partidos de titular,penaltyConversion,Centros totales,Duelos perdidos,Pérdidas aéreas,Penales errados,Pases largos totales,scoringFrequency,Doble amarilla,Sustituciones ingresando,Sustituciones saliendo,Saques de arco,Recuperaciones,stats_id,type,Partidos jugados,player_id,league_id,season_id,cleanSheet,goalsConceded
7.0138888888889,14.0,3.0,18.0,345.0,160.0,505.0,68.32,25.0,24.0,30.0,57.69,56.0,3.0,0.0,0.0,5.0,35.71,68.0,28.0,40.0,118.0,36.09,264.0,32.39,3132.0,20.59,3.0,3.0,0.0,11.0,30.56,23.0,10.0,40.0,41.0,0.0,17.0,31.0,3.0,1.0,0.0,0.0,36.0,100.0,14.0,551.0,209.0,0.0,36.0,223.71428571429,0.0,11.0,1.0,0.0,85.0,1291072,overall,37.0,1093119,703,57782,,
6.9242424242424,10.0,0.0,9.0,254.0,128.0,382.0,66.49,21.0,15.0,42.0,67.74,53.0,2.0,0.0,0.0,2.0,8.33,44.0,21.0,23.0,44.0,33.59,206.0,32.14,1856.0,20.45,1.0,0.0,0.0,6.0,46.15,14.0,4.0,36.0,39.0,0.0,9.0,18.0,2.0,0.0,0.0,0.0,23.0,0.0,24.0,435.0,87.0,1.0,13.0,185.6,0.0,20.0,11.0,0.0,92.0,1291071,overall,34.0,1213809,703,57782,0.0,1.0
6.7794117647059,3.0,2.0,5.0,350.0,146.0,496.0,70.56,28.0,23.0,59.0,60.2,36.0,1.0,0.0,0.0,14.0,35.0,36.0,13.0,23.0,14.0,32.56,135.0,33.25,1895.0,8.333,0.0,0.0,0.0,9.0,47.37,4.0,3.0,15.0,12.0,0.0,19.0,4.0,0.0,0.0,0.0,0.0,23.0,,40.0,271.0,29.0,0.0,19.0,631.66666666667,0.0,20.0,11.0,0.0,72.0,1299043,overall,35.0,1182395,703,57782,,
6.4769230769231,0.0,0.0,0.0,76.0,32.0,108.0,70.37,2.0,1.0,2.0,50.0,11.0,1.0,0.0,0.0,0.0,0.0,10.0,4.0,6.0,16.0,34.78,29.0,26.61,481.0,0.0,0.0,0.0,1.0,2.0,50.0,3.0,0.0,5.0,13.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,4.0,,4.0,80.0,30.0,0.0,4.0,,0.0,3.0,9.0,0.0,10.0,1426823,overall,13.0,941078,703,57782,,
7.0066666666667,4.0,3.0,7.0,365.0,195.0,560.0,65.18,39.0,36.0,112.0,61.54,85.0,6.0,0.0,0.0,28.0,36.36,33.0,13.0,20.0,19.0,26.76,279.0,35.91,1989.0,12.12,0.0,0.0,4.0,22.0,57.89,18.0,6.0,49.0,40.0,0.0,39.0,12.0,2.0,0.0,0.0,0.0,24.0,,77.0,498.0,52.0,0.0,38.0,497.25,0.0,23.0,6.0,0.0,134.0,1291073,overall,31.0,939935,703,57782,,
,0.0,0.0,,,,,,,,,,,1.0,,0.0,,,,,,,,,,90.0,,0.0,0.0,,,,,,,,0.0,,,,,,,1.0,,,,,,,,0.0,,,,,1659464,overall,1.0,1467315,703,57782,,
6.8838709677419,2.0,0.0,2.0,601.0,203.0,804.0,74.75,101.0,8.0,22.0,68.75,134.0,7.0,0.0,0.0,7.0,63.64,33.0,8.0,25.0,53.0,63.1,219.0,42.36,2264.0,6.061,0.0,0.0,0.0,56.0,46.67,25.0,8.0,34.0,35.0,0.0,55.0,1.0,5.0,2.0,0.0,0.0,26.0,,11.0,298.0,31.0,0.0,120.0,1132.0,0.0,15.0,6.0,0.0,282.0,1291726,overall,33.0,1086999,703,57782,,
6.7416666666667,0.0,1.0,1.0,548.0,126.0,674.0,81.31,88.0,8.0,15.0,78.95,51.0,2.0,0.0,0.0,7.0,53.85,13.0,5.0,8.0,7.0,36.84,97.0,36.6,1261.0,0.0,0.0,0.0,0.0,30.0,51.72,5.0,8.0,17.0,25.0,0.0,31.0,1.0,0.0,1.0,0.0,0.0,16.0,,13.0,168.0,12.0,0.0,58.0,,0.0,15.0,9.0,0.0,123.0,1298672,overall,25.0,1065614,703,57782,,
6.8052631578947,0.0,1.0,1.0,116.0,62.0,178.0,65.17,10.0,7.0,37.0,80.43,33.0,3.0,0.0,0.0,11.0,30.56,6.0,0.0,6.0,10.0,45.45,82.0,45.3,747.0,0.0,0.0,0.0,0.0,4.0,44.44,5.0,0.0,16.0,11.0,0.0,12.0,2.0,0.0,1.0,0.0,0.0,9.0,,36.0,99.0,12.0,0.0,9.0,,0.0,8.0,12.0,0.0,40.0,1291503,overall,21.0,1048283,703,57782,,
6.65,0.0,0.0,0.0,5.0,5.0,10.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,7.0,1.0,0.0,3.0,,0.0,0.0,2.0,0.0,3.0,1349925,overall,2.0,1087031,703,57782,,
