player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,xgot,goalType,event_id,x,y,x_goal,y_goal,team
1654073,away,block,regular,"{'x': 9, 'y': 69, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 9, 'y': 69, 'z': 0}",0.002873,3427794,90,1.0,5455,"{'start': {'x': 69, 'y': 9}, 'block': {'x': 69, 'y': 9}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",1,845,shot,,,11972389,9,69,50.0,80.0,93513
789948,away,save,throw-in-set-piece,"{'x': 22, 'y': 37, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.4, 'z': 6}",,0.02075,3427793,83,,4954,"{'start': {'x': 37, 'y': 22}, 'end': {'x': 49.6, 'y': 0}, 'goal': {'x': 49.6, 'y': 94}}",8,446,shot,0.01437,,11972389,22,37,49.6,94.0,93513
1598397,away,save,regular,"{'x': 5, 'y': 68, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 47, 'z': 13.1}",,0.06403,3427792,80,,4748,"{'start': {'x': 68, 'y': 5}, 'end': {'x': 53, 'y': 0}, 'goal': {'x': 53, 'y': 86.9}}",11,652,shot,0.05532,,11972389,5,68,53.0,86.9,93513
922436,home,miss,regular,"{'x': 6, 'y': 30, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 58, 'z': 46.4}",,0.08954,3427791,77,,4598,"{'start': {'x': 30, 'y': 6}, 'end': {'x': 42, 'y': 0}, 'goal': {'x': 42, 'y': 53.6}}",14,802,shot,,,11972389,6,30,42.0,53.6,36834
1598397,away,miss,regular,"{'x': 21, 'y': 56, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 58.8, 'z': 5.3}",,0.01092,3427790,76,,4538,"{'start': {'x': 56, 'y': 21}, 'end': {'x': 41.2, 'y': 0}, 'goal': {'x': 41.2, 'y': 94.7}}",15,862,shot,,,11972389,21,56,41.2,94.7,93513
1086327,home,save,corner,"{'x': 10, 'y': 51, 'z': 0}",head,low-centre,"{'x': 0, 'y': 50.2, 'z': 0.7}",,0.0681,3427789,76,,4518,"{'start': {'x': 51, 'y': 10}, 'end': {'x': 49.8, 'y': 0}, 'goal': {'x': 49.8, 'y': 99.3}}",15,882,shot,0.08317,,11972389,10,51,49.8,99.3,36834
1119882,away,miss,corner,"{'x': 5, 'y': 49, 'z': 0}",head,close-high-right,"{'x': 0, 'y': 41.3, 'z': 49.7}",,0.2697,3427788,73,,4335,"{'start': {'x': 49, 'y': 5}, 'end': {'x': 58.7, 'y': 0}, 'goal': {'x': 58.7, 'y': 50.3}}",18,1065,shot,,,11972389,5,49,58.7,50.3,93513
1017431,away,miss,corner,"{'x': 8, 'y': 49, 'z': 0}",head,close-left,"{'x': 0, 'y': 57.2, 'z': 10.3}",,0.1056,3427787,57,,3392,"{'start': {'x': 49, 'y': 8}, 'end': {'x': 42.8, 'y': 0}, 'goal': {'x': 42.8, 'y': 89.7}}",34,2008,shot,,,11972389,8,49,42.8,89.7,93513
1021876,away,save,regular,"{'x': 18, 'y': 35, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 47.6, 'z': 20.2}",,0.0516,3427786,57,,3361,"{'start': {'x': 35, 'y': 18}, 'end': {'x': 52.4, 'y': 0}, 'goal': {'x': 52.4, 'y': 79.8}}",34,2039,shot,0.3967,,11972389,18,35,52.4,79.8,93513
248147,home,miss,corner,"{'x': 3, 'y': 39, 'z': 0}",right-foot,close-high-left,"{'x': 0, 'y': 59.2, 'z': 43.4}",,0.1206,3427785,55,,3298,"{'start': {'x': 39, 'y': 3}, 'end': {'x': 40.8, 'y': 0}, 'goal': {'x': 40.8, 'y': 56.6}}",36,2102,shot,,,11972389,3,39,40.8,56.6,36834
1017431,away,miss,corner,"{'x': 8, 'y': 46, 'z': 0}",head,close-high-left,"{'x': 0, 'y': 57.9, 'z': 47.4}",,0.1251,3427784,45,2.0,2799,"{'start': {'x': 46, 'y': 8}, 'end': {'x': 42.1, 'y': 0}, 'goal': {'x': 42.1, 'y': 52.6}}",1,2601,shot,,,11972389,8,46,42.1,52.6,93513
