team,id,logo,league,country,season,link
Aldosivi,36836,https://api.sofascore.app/api/v1/team/36836/image,Primera B Nacional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/aldosivi/36836
Deportivo Madryn,222120,https://api.sofascore.app/api/v1/team/222120/image,Primera B Nacional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/deportivo-madryn/222120
Nueva Chicago,3200,https://api.sofascore.app/api/v1/team/3200/image,Primera B Nacional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/nueva-chicago/3200
Gimnasia y Esgrima Mendoza,188441,https://api.sofascore.app/api/v1/team/188441/image,Primera B Nacional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/gimnasia-y-esgrima-mendoza/188441
San Telmo,213361,https://api.sofascore.app/api/v1/team/213361/image,Primera B Nacional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/san-telmo/213361
Club Atletico Colón,3207,https://api.sofascore.app/api/v1/team/3207/image,Primera B Nacional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/colon/3207
Defensores de Belgrano,52215,https://api.sofascore.app/api/v1/team/52215/image,Primera B Nacional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/defensores-de-belgrano/52215
Gimnasia y Tiro de Salta,222126,https://api.sofascore.app/api/v1/team/222126/image,Primera B Nacional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/gimnasia-y-tiro-de-salta/222126
Mitre,255425,https://api.sofascore.app/api/v1/team/255425/image,Primera B Nacional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/mitre/255425
Temperley,112499,https://api.sofascore.app/api/v1/team/112499/image,Primera B Nacional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/temperley/112499
Estudiantes de Río Cuarto,266694,https://api.sofascore.app/api/v1/team/266694/image,Primera B Nacional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/estudiantes-de-rio-cuarto/266694
Atlanta,53799,https://api.sofascore.app/api/v1/team/53799/image,Primera B Nacional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/atlanta/53799
Deportivo Morón,93109,https://api.sofascore.app/api/v1/team/93109/image,Primera B Nacional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/deportivo-moron/93109
Almagro,4938,https://api.sofascore.app/api/v1/team/4938/image,Primera B Nacional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/almagro/4938
Chaco For Ever,252726,https://api.sofascore.app/api/v1/team/252726/image,Primera B Nacional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/chaco-for-ever/252726
Almirante Brown,43740,https://api.sofascore.app/api/v1/team/43740/image,Primera B Nacional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/almirante-brown/43740
Defensores Unidos,93515,https://api.sofascore.app/api/v1/team/93515/image,Primera B Nacional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/defensores-unidos/93515
Atlético de Rafaela,34976,https://api.sofascore.app/api/v1/team/34976/image,Primera B Nacional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/atletico-de-rafaela/34976
Brown de Adrogué,107201,https://api.sofascore.app/api/v1/team/107201/image,Primera B Nacional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/brown-de-adrogue/107201
