Goles convertidos,Goles recibidos,Asistencias,Remates,Goles de penal,Penales ejecutados,Regates exitosos,Intentos de regate,Córners,Posesión promedio,Pases totales,Pases precisos,Precisión de pase %,Pases largos totales,Pases largos precisos,Precisión de pase largo %,Centros totales,Centros precisos,Precisión de centros %,Vallas invictas,Intercepciones,Atajadas,Errores seguidos por remate,Duelos totales,Duelos ganados,Efectividad en duelos %,Duelos aéreos totales,Duelos aéreos ganados,Efectividad en duelos aéreos %,Fueras de juego,Faltas,Tarjetas amarillas,Doble amarilla,Tarjetas rojas,Remates en contra,Saques de arco,Recuperaciones,Tiros libre,ID,Partidos,Partidos otorgados,team_id,league_id,season_id
43,24,19,403,3,4,604,883,174,48.9,12289,9034,73.51,2243,1198,53.41,534,184,34.46,20,1780,114,186,9300,3547,38.14,1883,883,46.89,88,536,96,5,5,415,354,3564,94,16562,39,0,36836,703,57782
36,23,20,411,7,8,544,825,183,55.6,14564,11290,77.52,2426,1320,54.41,678,223,32.89,24,1679,78,181,8923,3460,38.78,1765,795,45.04,89,391,69,5,5,370,275,3430,110,16578,40,0,222120,703,57782
41,26,20,445,4,4,611,882,182,51.2,12534,9385,74.88,2270,1156,50.93,590,209,35.42,20,1773,124,199,9121,3361,36.85,1755,771,43.93,83,580,114,2,3,433,244,3434,125,16552,41,0,3200,703,57782
48,35,26,430,3,4,532,770,208,50.4,11837,8786,74.22,2129,1138,53.45,680,198,29.12,15,1504,78,138,8777,3346,38.12,1660,785,47.29,95,502,93,5,6,319,316,3395,178,16575,40,0,188441,703,57782
51,27,18,446,4,6,563,878,164,57.6,14802,11613,78.46,2304,1290,55.99,618,208,33.66,20,1662,116,240,8977,3452,38.45,1843,896,48.62,80,494,92,5,5,435,150,3529,83,16569,40,0,213361,703,57782
41,27,21,449,5,6,683,1050,204,55.0,14306,11041,77.18,2239,1189,53.1,652,193,29.6,18,1418,66,148,9383,3618,38.56,1831,840,45.88,85,530,81,6,6,299,253,3611,128,16553,39,0,3207,703,57782
38,26,17,358,5,6,481,749,165,49.4,11873,8605,72.48,1990,1032,51.86,499,149,29.86,24,1656,98,213,9394,3475,36.99,1858,842,45.32,86,535,81,2,2,424,368,3544,161,16556,39,0,52215,703,57782
28,24,16,356,3,4,543,774,163,42.0,9420,6437,68.33,2095,1003,47.88,475,164,34.53,23,1669,98,183,8621,3103,35.99,1817,756,41.61,66,489,91,11,11,398,473,3147,168,16584,39,0,222126,703,57782
27,20,11,365,3,3,427,656,149,48.4,11465,8123,70.85,2422,1277,52.73,559,189,33.81,22,1620,98,200,8840,3215,36.37,2074,916,44.17,80,469,89,2,2,405,306,3551,99,16585,38,0,255425,703,57782
30,25,15,379,5,7,620,909,153,51.5,12461,9486,76.13,2161,1160,53.68,570,184,32.28,21,1468,107,158,9178,3399,37.03,1823,800,43.88,52,513,94,5,5,330,260,3403,138,16573,38,0,112499,703,57782
27,28,15,353,1,3,454,710,148,51.7,12214,9120,74.67,2107,1139,54.06,531,180,33.9,19,1391,72,126,8257,3057,37.02,1776,797,44.88,62,432,79,6,7,280,283,3220,113,16581,38,0,266694,703,57782
